"filename", "language", "Makefile", "HTML", "C", "C++", "Log", "comment", "blank", "total"
"/home/parsa/Desktop/nano/Makefile", "Makefile", 2046, 0, 0, 0, 0, 28, 72, 2146
"/home/parsa/Desktop/nano/config.h", "C++", 0, 0, 0, 614, 0, 769, 460, 1843
"/home/parsa/Desktop/nano/config.log", "Log", 0, 0, 0, 0, 11079, 0, 25, 11104
"/home/parsa/Desktop/nano/doc/Makefile", "Makefile", 2296, 0, 0, 0, 0, 26, 73, 2395
"/home/parsa/Desktop/nano/doc/faq.html", "HTML", 0, 262, 0, 0, 0, 0, 16, 278
"/home/parsa/Desktop/nano/doc/nano.1.html", "HTML", 0, 553, 0, 0, 0, 2, 177, 732
"/home/parsa/Desktop/nano/doc/nano.html", "HTML", 0, 2190, 0, 0, 0, 17, 78, 2285
"/home/parsa/Desktop/nano/doc/nanorc.5.html", "HTML", 0, 1122, 0, 0, 0, 2, 466, 1590
"/home/parsa/Desktop/nano/doc/rnano.1.html", "HTML", 0, 112, 0, 0, 0, 2, 54, 168
"/home/parsa/Desktop/nano/lib/Makefile", "Makefile", 4007, 0, 0, 0, 0, 296, 118, 4421
"/home/parsa/Desktop/nano/lib/_Noreturn.h", "C++", 0, 0, 0, 22, 0, 22, 2, 46
"/home/parsa/Desktop/nano/lib/alloca.c", "C", 0, 0, 104, 0, 0, 56, 43, 203
"/home/parsa/Desktop/nano/lib/alloca.h", "C++", 0, 0, 0, 35, 0, 34, 5, 74
"/home/parsa/Desktop/nano/lib/alloca.in.h", "C++", 0, 0, 0, 35, 0, 33, 5, 73
"/home/parsa/Desktop/nano/lib/arg-nonnull.h", "C++", 0, 0, 0, 7, 0, 18, 2, 27
"/home/parsa/Desktop/nano/lib/asnprintf.c", "C", 0, 0, 13, 0, 0, 16, 6, 35
"/home/parsa/Desktop/nano/lib/attribute.h", "C++", 0, 0, 0, 27, 0, 139, 53, 219
"/home/parsa/Desktop/nano/lib/btowc.c", "C", 0, 0, 17, 0, 0, 17, 6, 40
"/home/parsa/Desktop/nano/lib/c++defs.h", "C++", 0, 0, 0, 162, 0, 153, 17, 332
"/home/parsa/Desktop/nano/lib/cdefs.h", "C++", 0, 0, 0, 384, 0, 163, 68, 615
"/home/parsa/Desktop/nano/lib/closedir.c", "C", 0, 0, 36, 0, 0, 18, 18, 72
"/home/parsa/Desktop/nano/lib/ctype.h", "C++", 0, 0, 0, 233, 0, 274, 32, 539
"/home/parsa/Desktop/nano/lib/ctype.in.h", "C++", 0, 0, 0, 21, 0, 26, 11, 58
"/home/parsa/Desktop/nano/lib/dirent-private.h", "C++", 0, 0, 0, 14, 0, 25, 6, 45
"/home/parsa/Desktop/nano/lib/dirent.h", "C++", 0, 0, 0, 421, 0, 311, 46, 778
"/home/parsa/Desktop/nano/lib/dirent.in.h", "C++", 0, 0, 0, 202, 0, 45, 24, 271
"/home/parsa/Desktop/nano/lib/dirfd.c", "C", 0, 0, 63, 0, 0, 19, 17, 99
"/home/parsa/Desktop/nano/lib/dynarray.h", "C++", 0, 0, 0, 84, 0, 171, 30, 285
"/home/parsa/Desktop/nano/lib/errno.in.h", "C++", 0, 0, 0, 193, 0, 42, 45, 280
"/home/parsa/Desktop/nano/lib/fcntl.h", "C++", 0, 0, 0, 515, 0, 347, 87, 949
"/home/parsa/Desktop/nano/lib/fcntl.in.h", "C++", 0, 0, 0, 296, 0, 81, 65, 442
"/home/parsa/Desktop/nano/lib/filename.h", "C++", 0, 0, 0, 49, 0, 53, 11, 113
"/home/parsa/Desktop/nano/lib/flexmember.h", "C++", 0, 0, 0, 9, 0, 46, 6, 61
"/home/parsa/Desktop/nano/lib/float+.h", "C++", 0, 0, 0, 108, 0, 30, 10, 148
"/home/parsa/Desktop/nano/lib/float.c", "C", 0, 0, 11, 0, 0, 19, 4, 34
"/home/parsa/Desktop/nano/lib/float.in.h", "C++", 0, 0, 0, 102, 0, 81, 12, 195
"/home/parsa/Desktop/nano/lib/fnmatch.c", "C", 0, 0, 269, 0, 0, 57, 36, 362
"/home/parsa/Desktop/nano/lib/fnmatch.in.h", "C++", 0, 0, 0, 60, 0, 32, 19, 111
"/home/parsa/Desktop/nano/lib/fnmatch_loop.c", "C", 0, 0, 936, 0, 0, 157, 119, 1212
"/home/parsa/Desktop/nano/lib/fpucw.h", "C++", 0, 0, 0, 35, 0, 58, 16, 109
